FECHA;Meteo_Madrid.Vel viento (m/s);Meteo_Madrid.Temperatura (ºC);Meteo_Madrid.Presión barométrica (mb);Meteo_Madrid.Precipitación (l/m2);M30.UsuariosCalle30 (veh);M30.vehxKmTotales;M30.vehxKmRamales;SO2 (µg/m 3);CO (mg/m3);NO (µg/m3);NO2 (µg/m 3);NOx (µg/m3);PM2.5 (µg/m3);PM10 (µg/m3);O3 (µg/m 3);TOL (µg/m3);BEN (µg/m3);EBE (µg/m3);TCH (mg/m3);CH4 (mg/m3);NMHC (mg/m3)
12/04/2020;1,1;15,55;945;0;158077;914904;282426;5;0,2;1;7;8;10;12;84;0,3;0,2;0,15;1,29;1,23;0,06
13/04/2020;1,04;13,2;938;1,55;389414;2564041;688328;5;0,2;2;12;16;10;12;75,5;0,4;0,2;0,1;1,28;1,22;0,06
14/04/2020;0,985;13,6;939,5;2;403823;2700036;712670;6;0,2;2;16;19;8;11;51;0,55;0,2;0,1;1,28;1,23;0,06
15/04/2020;1,83;12,5;941;13,95;404120;2690759;718958;5;0,2;2;12;15;5;6;67;0,4;0,2;0,1;1,26;1,21;0,05
16/04/2020;1,805;13,6;941,5;3,05;404453;2704957;721165;5;0,2;2;14;16;5;7,5;55;0,35;0,2;0,1;1,29;1,24;0,05
17/04/2020;1,385;14,6;941;0,2;415030;2762299;738251;5;0,2;2;15;19;5;8;54,5;0,5;0,2;0,1;1,3;1,23;0,07
18/04/2020;0,85;15,9;941;0;209617;1233808;364285;5;0,2;2;14;18;7;10;52;0,6;0,25;0,1;1,3;1,21;0,08
19/04/2020;1,005;14,1;938;10,9;165025;944337;292944;5;0,2;1;7;9;4;5;71;0,3;0,2;0,1;1,24;1,17;0,09
20/04/2020;1,345;13,2;936,5;0;440071;2900985;789784;5;0,2;4;14;22;5;8;51;0,5;0,2;0,15;1,34;1,23;0,1
21/04/2020;1,225;11,5;935,5;0;415486;2764079;741713;5;0,2;2;9;12;3;4;67,5;0,25;0,1;0,1;1,25;1,14;0,09
22/04/2020;0,79;14,9;940,5;0;444091;2970669;795366;5;0,2;3;14;19;4;6;63;0,5;0,2;0,1;1,26;1,16;0,1
23/04/2020;0,9;15,8;943,5;0;442080;2956421;789468;5;0,2;2;15;18;7;9;51;0,6;0,25;0,15;1,3;1,22;0,09
24/04/2020;1,115;17,4;940,5;0;439596;2919710;787284;5;0,2;2;15;19;7;9;54,5;0,7;0,3;0,2;1,3;1,23;0,1
25/04/2020;0,935;16,8;937;0;217783;1294775;389902;5;0,2;1;9;11;7;11;74;0,4;0,2;0,15;1,29;1,2;0,1
26/04/2020;1,5;15,2;938;0;174084;1009030;320133;5;0,2;1;6;8;8;13;65,5;0,3;0,2;0,15;1,33;1,24;0,09
27/04/2020;1,98;13,2;939;0;467631;3137544;827114;5;0,2;2;9;11;5;9;75,5;0,25;0,1;0,1;1,25;1,13;0,12
28/04/2020;1,635;12,5;941,5;0;465517;3130942;840057;5;0,2;2;10;12;5;7;65,5;0,25;0,1;0,1;1,28;1,15;0,13
29/04/2020;2,135;13,4;944;0;483551;3198258;843188;5;0,2;3;12;18;4;8;60;0,3;0,1;0,15;1,27;1,15;0,11
30/04/2020;2,64;14,2;944;0;499698;3319321;889218;5;0,2;1,5;6;8;4;8;73;0,2;0,1;0,1;1,23;1,14;0,09
01/05/2020;2,065;15,8;946;0;194910;1174479;362658;5;0,2;1;4;5,5;4;8;57;0,2;0,1;0,1;1,24;1,19;0,07
02/05/2020;1,325;19;946,5;0;218918;1308582;403249;5;0,2;2;7;10;5;8;43;0,35;0,2;0,15;1,27;1,2;0,1
03/05/2020;0,83;21,35;944;0;198028;1182073;374045;5;0,2;2;11;14;7;11;48,5;0,75;0,2;0,15;1,33;1,19;0,13
04/05/2020;1,65;22,4;940,5;0;537138;3619812;986844;5;0,2;2,5;17;20,5;10;21;55;0,95;0,25;0,15;1,29;1,12;0,12
05/05/2020;1,715;18,95;942,5;0;538173;3590197;945672;5;0,2;2;9,5;12,5;4;8;75;0,35;0,15;0,1;1,21;1,1;0,12
06/05/2020;0,74;18,35;944;0;543643;3567514;942778;5;0,2;4;22;29;6;11;67;1,1;0,2;0,15;1,28;1,14;0,14
07/05/2020;1,73;20,55;944;0;560537;3735121;999716;5,5;0,2;2;14,5;17;8;19;71;0,8;0,2;0,15;1,22;1,1;0,12
08/05/2020;1,39;21,25;942,5;0;556432;3677830;983878;6;0,2;2;10;13;8;16;82;0,5;0,2;0,15;1,17;1,06;0,11
09/05/2020;1,81;19;939;0;270753;1638820;480200;5,5;0,2;1;6;8;9;17;78;0,4;0,15;0,15;1,18;1,05;0,12
10/05/2020;2,38;14,45;936;0,9;200029;1188864;356197;5;0,2;1;2,5;5;3;6;69,5;0,15;0,1;0,1;1,13;1,02;0,12
11/05/2020;2,17;14,65;937,5;0,05;622116;4185000;1112936;5;0,2;2;7;10;3;5,5;64,5;0,2;0,1;0,15;1,13;1,02;0,12
12/05/2020;1,015;12,75;937,5;8,85;623546;4137618;1103364;5;0,2;2,5;14,5;18;5;8;56;0,6;0,2;0,15;1,17;1,05;0,12
13/05/2020;1,42;13,7;935;0,9;624547;4193328;1115792;5,5;0,2;2;10,5;14;4;7;70,5;0,35;0,1;0,15;1,13;1,01;0,12
14/05/2020;1,135;12,55;935;5;632833;4156816;1127037;5;0,2;2;15;19;4;6;66;0,65;0,2;0,1;1,15;1;0,13
15/05/2020;0,905;13,25;940;7,2;299829;1903541;530653;6;0,2;2;10;13;4;5,5;57;0,55;0,15;0,1;1,17;1,05;0,12
16/05/2020;1,485;14,55;945;0,25;286630;1724296;501775;5;0,2;1;6;8;4;7;64;0,25;0,1;0,1;1,18;1,07;0,11
17/05/2020;1,295;16,6;948;0;208920;1240052;374388;5,5;0,2;1;5;7;7;9,5;81;0,25;0,1;0,1;1,21;1,09;0,12
18/05/2020;0,87;20,25;948;0;677276;4492404;1195501;6;0,2;3;17;21;7;10;67;0,8;0,2;0,2;1,24;1,11;0,14
19/05/2020;0,865;21,95;946,5;0;689342;4538750;1206018;6;0,2;3;16;20;7;11;70;0,9;0,15;0,15;1,22;1,09;0,14
20/05/2020;0,98;23,7;945;0;680973;4530905;1208673;6;0,2;3;18;22,5;7;10;68;1,15;0,15;0,2;1,23;1,09;0,16
21/05/2020;0,955;24,1;946,5;0;684513;4577560;1215676;6;0,2;3,5;21;26,5;8;12,5;71,5;1,35;0,2;0,25;1,23;1,09;0,16
22/05/2020;0,985;24,9;949;0;700099;4489041;1200591;6;0,2;3;20;25,5;13;19;71;1,4;0,25;0,35;1,28;1,14;0,17
23/05/2020;1;25,7;950,5;0;343257;2057578;584747;6;0,2;2;13;16;11;17;70;0,95;0,25;0,3;1,25;1,13;0,16
24/05/2020;1,295;23,7;950,5;0;231930;1412285;419136;6;0,2;1;5;7;8;13;74,5;0,4;0,2;0,2;1,22;1,12;0,11
25/05/2020;1,345;22,8;950;1,45;933254;6312691;1653880;6;0,2;2,5;15;17,5;10;18;62;1;0,2;0,25;1,31;1,2;0,11
26/05/2020;1,3;21;950;0;863633;5831543;1512564;6;0,2;2;13;16,5;7;11;57,5;0,7;0,2;0,2;1,21;1,1;0,11
27/05/2020;1,505;23,2;950;0;883568;5892395;1535703;6;0,2;2;13;17,5;8;11;70;0,55;0,15;0,1;1,23;1,11;0,13
28/05/2020;1,25;22,9;949;0;896592;5993630;1572842;6;0,2;2;13;15,5;8;13;85,5;0,75;0,1;0,15;1,28;1,15;0,13
29/05/2020;0,925;23,9;944;0;882628;5980283;1555030;6;0,2;3;22,5;26,5;8;14;82;0,8;0,2;0,1;1,24;1,1;0,15
30/05/2020;1,035;24,8;941,5;0;652303;4330556;1129497;6;0,2;2;18;20,5;9;17;85;1,1;0,2;0,2;1,22;1,08;0,16
31/05/2020;1,155;22,2;940,5;8,7;523024;3451656;904462;6;0,2;1;10;12;10;16;80,5;0,4;0,1;0,1;1,21;1,08;0,13
01/06/2020;0,94;21,8;943;0,05;881548;5875029;1548302;6;0,2;3;18,5;24;9,5;16;73;0,7;0,2;0,1;1,24;1,12;0,12
02/06/2020;1,17;23,8;941,5;0;870384;5873048;1517973;6;0,2;4;23;30,5;13;23;64,5;1,25;0,25;0,15;1,23;1,09;0,13
03/06/2020;1,59;22,4;939;0,4;896806;6017781;1577885;6;0,2;4;18;24,5;11,5;23;66,5;0,6;0,1;0,1;1,19;1,03;0,12
04/06/2020;1,85;19,3;936,5;0,5;935426;6218554;1633043;6;0,2;3;13;16;8,5;13;72,5;0,45;0,15;0,15;1,13;0,96;0,13
05/06/2020;1,165;20,3;940,5;0;965287;6389680;1662770;6;0,2;3;15;20;5;8;70;0,5;0,1;0,2;1,15;0,99;0,14
06/06/2020;2,3;21,8;939;0;688105;4535184;1174081;6;0,2;2;9;11,5;7;14;72;0,35;0,1;0,15;1,16;0,97;0,13
07/06/2020;1,485;19,5;938;0,75;538678;3595528;945909;6;0,2;1,5;7;9,5;6;10;59,5;0,35;0,1;0,15;1,17;0,97;0,13
08/06/2020;1,635;16,4;942,5;0;973440;6310205;1665007;6;0,2;2,5;8,5;11;3,5;5,5;65,5;0,3;0,1;0,2;1,1;0,96;0,14
09/06/2020;1,455;16,9;945;0;1011526;6549287;1725289;6;0,2;2,5;10;13,5;4;6,5;72;0,4;0,1;0,15;1,12;0,98;0,14
10/06/2020;1,225;18,6;944;0;995436;6529601;1727114;6;0,2;3;13,5;16;5,5;9,5;74;0,55;0,1;0,15;1,13;0,98;0,14
11/06/2020;2,385;19,4;937;0;1010013;6560711;1732854;6;0,2;2,5;12;16,5;7;17;73;0,75;0,15;0,2;1,13;0,96;0,14
12/06/2020;2,62;14,85;936;0,6;1045696;6921544;1819362;6;0,2;3;9;14;4;10;64;0,4;0,1;0,1;1,11;0,93;0,15
13/06/2020;1,76;16,55;941;0;779162;5153645;1342296;6;0,2;2;9;11;5;8;73;0,4;0,1;0,1;1,13;0,97;0,13
14/06/2020;1,09;19,75;944;0;623955;4165021;1098019;6;0,2;1,5;11;13;6;10;72;0,55;0,1;0,1;1,17;1;0,13
15/06/2020;1,31;21,3;945;0;965193;6475427;1718414;6;0,2;5;16;22,5;6,5;12;63,5;0,7;0,15;0,1;1,17;0,99;0,14
16/06/2020;1,36;20,7;943;0;1013167;6768335;1778228;6;0,2;3;12;17;4;8;55,5;0,65;0,1;0,15;1,12;0,98;0,13
17/06/2020;1,12;20,4;942;0;1094397;7076118;1887585;6;0,2;3;13;16,5;5;8,5;68;0,7;0,1;0,1;1,12;0,97;0,14
18/06/2020;1,365;22,2;939;0;1119466;7254187;1928733;6;0,2;3;15;21;6;11;65;0,75;0,1;0,1;1,13;0,98;0,14
19/06/2020;1,44;23,35;942;0;1021433;6791680;1788672;6;0,2;3;16,5;21;8,5;17;71,5;0,65;0,15;0,1;1,14;1;0,14
20/06/2020;1,28;25,4;944;0;839286;5511687;1431824;6;0,2;2,5;19;23;8;13,5;73;0,95;0,15;0,15;1,18;1;0,19
21/06/2020;0,97;27,05;946;0;697047;4685799;1198234;6;0,2;2;19;22,5;8;13,5;69;0,8;0,2;0,15;1,18;1,02;0,2
22/06/2020;1,46;27,5;945;0;1190698;7880241;2086382;6;0,2;2;18,5;22;10;17,5;81;0,8;0,15;0,1;1,14;1,01;0,18
23/06/2020;1,18;29,1;942;0;1106657;7485418;1980381;6;0,25;3,5;24,5;29;11,5;23;78;1,3;0,2;0,2;1,35;1,13;0,215
24/06/2020;1,3;27,85;942;0,2;1154624;7726670;2030312;6;0,2;3;24,5;29,5;11;25,5;71,5;1,15;0,2;0,1;1,15;0,99;0,17
25/06/2020;1,5;27,9;941;0;1170329;7751819;2048054;6;0,2;2,5;21;25;12,5;26,5;80;1,05;0,2;0,1;1,18;0,99;0,16
26/06/2020;1,84;25,65;941;0;1121822;7442036;1946331;6;0,2;3;19;23,5;9;21;71,5;0,8;0,2;0,1;1,15;0,99;0,14
27/06/2020;1,1;25,7;942;0;770025;5183608;1354725;6;0,2;2;14,5;18,5;7;13,5;66,5;0,8;0,15;0,15;1,2;1;0,16
28/06/2020;1,07;27,7;943;0;701054;4699557;1218230;6;0,2;1;12;14,5;6,5;10;62;0,55;0,15;0,1;1,14;0,98;0,18
29/06/2020;1,25;29,45;942;0;1156891;7603582;2009941;6;0,2;3;22;28;8,5;15;70;0,9;0,15;0,15;1,18;0,99;0,2
30/06/2020;1,74;29,85;939;0;1188597;7877416;2070016;6;0,2;3;20,5;24;13,5;25;80,5;0,8;0,2;0,15;1,14;0,99;0,19
01/07/2020;1,68;28,7;940;0;1207916;7996292;2123699;6;0,2;3;19;25;11;20;70,5;1,55;0,2;0,1;1,295;1,14;0,15
02/07/2020;1,62;27,3;942;0;1168256;7796749;2045616;6;0,2;4;18;25;6;13;56;1;0,1;0,1;1,27;1,135;0,145
03/07/2020;1,56;24,8;944;0;1135735;7606291;1977782;6;0,2;2;11,5;15;6;12;72,5;0,5;0,1;0,1;1,15;0,99;0,13
04/07/2020;1,2;26,9;945;0;769816;5151040;1332609;6;0,2;2;13,5;15,5;6;12;92;0,5;0,1;0,1;1,18;1,01;0,13
05/07/2020;1,28;29;945;0;678085;4595909;1186440;6;0,2;1;11,5;13,5;8;15;87;0,35;0,1;0,1;1,18;1,02;0,15
06/07/2020;1,37;30,1;943;0;1279293;8479898;2224006;6,5;0,2;3;18,5;22,5;8;16;64;0,6;0,15;0,1;1,15;1;0,13
07/07/2020;1,71;30,1;943;0;1156359;7557628;1979569;6,5;0,2;3;20;25;9;18;72;0,8;0,15;0,1;1,15;1;0,16
08/07/2020;1,96;29,6;941;0;1158029;7636353;2003163;6,5;0,2;2;23,5;27;16;44;65;1,2;0,2;0,15;1,17;1,01;0,14
09/07/2020;1,77;26,2;943;0;1158760;7723337;2012019;7;0,2;2;16;19;12;28;80,5;0,75;0,15;0,1;1,15;1,01;0,12
10/07/2020;1,145;26,35;942,5;0;1093936;7251780;1903054;7;0,2;2;20,5;23,5;9;17,5;95;0,9;0,2;0,1;1,16;1,01;0,13
11/07/2020;1,77;28,8;941;0;715014;4846832;1262547;7;0,2;1;13;14;12;24;87;0,55;0,15;0,1;1,16;1,02;0,15
12/07/2020;1,72;26,7;942;0;752610;5121244;1317684;7;0,2;1;8;10;13;25,5;75,5;0,35;0,1;0,1;1,14;1,02;0,1
13/07/2020;1,42;27,2;943;0;1075113;7221965;1893302;6,5;0,2;2;13,5;16,5;9;18;79;0,5;0,15;0,1;1,14;0,99;0,12
14/07/2020;1,86;26,2;942;0;1083404;7381524;1952175;7;0,2;2;12;15;9;15;89;0,6;0,15;0,15;1,15;1;0,12
15/07/2020;1,5;25,6;943;0;1067652;7235104;1930983;6,5;0,2;2;12;15;7;14;77;0,6;0,1;0,1;1,14;1;0,12
16/07/2020;1,43;27,2;943;0;1104002;7437095;1986705;6,5;0,2;2;16;20;7;13;78;0,8;0,15;0,15;1,17;0,99;0,14
17/07/2020;1,79;28,3;942;0;1012160;6865313;1804276;6,5;0,2;2;11;13,5;5;11;79,5;0,45;0,1;0,1;1,14;0,96;0,13
18/07/2020;1,16;27,5;941;0;678675;4625294;1213941;6,5;0,2;2;16;18;7;13;85;0,55;0,1;0,15;1,17;0,97;0,18
19/07/2020;1,245;29,2;942;0;604064;4200004;1096182;7;0,2;2;17,5;20;10;20;85;0,8;0,2;0,1;1,2;1,01;0,19
20/07/2020;1,035;29,4;941;0;1008574;6887465;1815856;7;0,25;7;33,5;45;15;46;61;1,2;0,2;0,15;1,24;1,05;0,18
21/07/2020;1,515;29,1;943,5;0;1022621;7001777;1841180;7;0,2;5;24;31;15;36,5;70,5;1,25;0,2;0,2;1,21;1,09;0,13
22/07/2020;1,22;27,55;944,5;1,7;1122888;7664203;2016583;7;0,2;3;21,5;25,5;13;25;81;1,1;0,2;0,15;1,19;1,02;0,14
23/07/2020;1,135;29,3;944;0;1030127;7078806;1870663;7;0,2;4,5;30;36;13;25;85;1,6;0,2;0,2;1,26;1,07;0,17
24/07/2020;1,285;30,45;942;0;1001082;6877596;1778615;7;0,2;3;25,5;31,5;12;22;86;1,85;0,25;0,25;1,2;1,03;0,19
25/07/2020;1,565;29,5;942,5;0;644552;4386752;1139115;7;0,2;2;13;15;9;18;95,5;0,75;0,2;0,15;1,16;1,03;0,17
26/07/2020;1,07;31,05;943;0;570938;4006455;1044534;7;0,2;2;26,5;30,5;12;18;77;1,25;0,3;0,25;1,26;1,04;0,23
27/07/2020;1,24;32,1;941;0;964525;6648118;1749779;8;0,2;3;32;39;13;28,5;76;1,2;0,3;0,3;1,41;1,16;0,245
28/07/2020;1,3;30,9;941;0;993522;6784848;1781847;7;0,2;4;27;32;15,5;34;85,5;1,8;0,3;0,3;1,43;1,2;0,225
29/07/2020;1,115;31,5;942,5;0;1019519;6888032;1824515;8;0,2;2,5;29;33;14;29;87;1,6;0,3;0,3;1,21;1,05;0,23
30/07/2020;1,85;31,7;942,5;0;1066319;7174403;1883553;7;0,2;3;20,5;25;13;36;82;1,25;0,2;0,3;1,18;1,03;0,16
31/07/2020;1,245;31;944;0;970722;6735823;1753811;7;0,2;4;33;39,5;12;26;76,5;1,8;0,3;0,4;1,22;1,01;0,22
01/08/2020;1,2;30,95;944;0;611624;4281951;1109034;7;0,2;3;28;33,5;10;19;77,5;1,45;0,2;0,4;1,29;1;0,23
02/08/2020;1,385;28,8;943,5;0;540798;3772109;968831;6,5;0,2;2;13;15;12;17;72;0,75;0,2;0,2;1,18;1,01;0,15
03/08/2020;1,59;26,05;943;0;868035;5904947;1564982;7;0,1;2;9;12;4;8;64,5;0,5;0,1;0,1;1,14;1;0,14
04/08/2020;1,48;25,9;943;0;879675;5884087;1554078;7;0,2;2;12,5;15;4;10;78;0,75;0,1;0,15;1,16;1,01;0,14
05/08/2020;1,035;28,75;941;0;938460;6153351;1590817;6,5;0,2;3,5;26,5;32,5;8;17;77,5;1,3;0,25;0,25;1,22;1,02;0,17
06/08/2020;1,165;30,6;942,5;0;904760;6006034;1548195;7;0,2;3;29;32,5;12;27;73,5;1,8;0,25;0,35;1,24;1,06;0,2
07/08/2020;1,165;31,85;945;0;894890;5967316;1512154;7,5;0,2;3;24;29;10;26;80,5;1,3;0,2;0,25;1,23;1,08;0,2
08/08/2020;0,815;30,45;946,5;0;574507;3852357;983724;7;0,2;3;29,5;33;10;27;70;1,65;0,25;0,35;1,24;1,09;0,19
09/08/2020;1,185;31,25;943;0;521464;3486758;892167;6;0,2;2;21;24;13;31;69,5;1,5;0,25;0,35;1,24;1,06;0,2
10/08/2020;1,22;28;941,5;0,4;705896;4762882;1227677;7;0,2;3;28,5;33;14;33;55;1,85;0,25;0,35;1,3;1,14;0,16
11/08/2020;1,245;21,25;943;21,75;820512;5415188;1379552;6,5;0,2;3;23;28,5;12;21;51,5;1,2;0,2;0,2;1,19;1,03;0,12
12/08/2020;1,225;21,15;942;0;824921;5607739;1407503;6,5;0,2;4;19,5;27;8;14;63,5;0,9;0,2;0,2;1,18;1,01;0,14
13/08/2020;0,925;24,3;943;0;826264;5537515;1375814;6,5;0,2;5,5;29,5;38,5;10;17;67,5;1,5;0,25;0,45;1,26;1,03;0,14
14/08/2020;1,065;26,1;941,5;0;821353;5486367;1379470;7;0,2;3;32,5;37;10;17;74,5;1,6;0,25;0,35;1,25;1,03;0,15
15/08/2020;1,695;24,1;941;0;537106;3619469;900795;6,5;0,2;2;14;16,5;6;10;70,5;1,2;0,2;0,3;1,33;1,01;0,15
16/08/2020;1,13;22,6;942;0;523255;3529674;882708;7;0,2;2;11,5;14;5;8;65,5;0,8;0,2;0,2;1,21;1,02;0,14
17/08/2020;1,295;23,1;943;0;812157;5390362;1339682;7;0,2;5;20,5;28;6;11;53,5;1;0,2;0,25;1,27;1,02;0,13
18/08/2020;1,065;25,3;942,5;0;820477;5439258;1369747;7;0,2;6;20;30,5;6;12;48;1,2;0,15;0,3;1,27;1,01;0,13
19/08/2020;1,34;26,5;939,5;0;819825;5447114;1376971;7;0,2;8;25,5;38;7;13,5;45;1,75;0,2;0,3;1,24;1;0,14
20/08/2020;1,195;26,4;938,5;0;822841;5530058;1390425;7,5;0,2;8;32,5;45,5;8;17;48;3,1;0,2;0,6;1,29;1;0,16
21/08/2020;1,87;26,4;942,5;0;829959;5474597;1424329;6,5;0,1;4;15;22;7;12;39;0,9;0,2;0,2;1,32;1,06;0,11
22/08/2020;1,08;26,6;947;0;572047;3790150;986750;6,5;0,2;2;14,5;17;8;10;64;0,6;0,2;0,2;1,18;0,99;0,13
23/08/2020;1,21;26,6;946;0;553665;3658610;937064;6,5;0,2;1;14;16;6;11;81;0,6;0,1;0,3;1,16;0,99;0,14
24/08/2020;1,14;27,1;943,5;0;900323;5907217;1556087;7;0,2;3,5;22,5;28;9;18;77,5;1;0,2;0,3;1,19;0,99;0,13
25/08/2020;0,935;28,5;943,5;0;945135;6141804;1598953;7;0,25;5;38;47;12;22;69,5;2,1;0,3;0,5;1,25;1,01;0,19
26/08/2020;0,97;29,05;947;0;934113;5992994;1574023;7,5;0,3;5,5;43;51,5;14;25;69,5;2,55;0,3;0,55;1,28;1,03;0,2
27/08/2020;0,91;29,4;945;0;959127;6202129;1623789;8;0,25;4;38;44;11;24;69,5;2,7;0,25;0,5;1,25;1,01;0,18
28/08/2020;1,47;27;937,5;0;944473;6141459;1606451;7;0,2;4;21,5;28;8;16;63;1,6;0,2;0,3;1,19;0,96;0,14
29/08/2020;2,05;19,4;937;0;688255;4474322;1160604;6,5;0,15;1,5;6;8;4;10;62;0,3;0,1;0,1;1,15;0,95;0,14
30/08/2020;1,475;17,45;942;0;821704;5182234;1346207;7;0,15;1;6;8;3;6;68;0,25;0,1;0,15;1,15;0,96;0,15
31/08/2020;1,065;18,75;945,5;0;1092278;6979585;1823224;7;0,2;4,5;24;30;4,5;10;62;1;0,2;0,6;1,21;0,98;0,16
01/09/2020;0,69;20,85;942;0;1149920;7351260;1940564;7,5;0,3;9;50,5;64;7,5;19,5;49;3,1;0,35;0,65;1,33;1,01;0,18
02/09/2020;1,325;22,55;945;0;1159708;7405014;1966492;7;0,2;3;28,5;33,5;7;14,5;74,5;1,8;0,2;0,3;1,19;0,99;0,15
03/09/2020;0,845;24,2;949;0;1167652;7508053;1981309;7,5;0,3;7;37;50,5;9;17,5;67;2,95;0,3;0,55;1,28;1,02;0,17
04/09/2020;0,85;25,5;951;0;1157956;7405812;1959288;7,5;0,25;5;41;49,5;9;22;62;3,1;0,4;0,55;1,33;1,05;0,18
05/09/2020;0,655;25,5;948;0;783791;5048525;1322997;7,5;0,3;6;40;49;9;19;62;2,5;0,35;0,55;1,43;1,09;0,18
06/09/2020;1,13;26,6;945;0;698174;4503356;1181533;7,5;0,2;1,5;16;18;8;19;83,5;1,2;0,2;0,3;1,22;1,01;0,14
07/09/2020;1,945;21,3;947;0;1188288;7522956;1996657;7,5;0,2;2;11;13,5;7;14;63,5;0,5;0,15;0,1;1,17;0,98;0,14
08/09/2020;1,43;19,95;951;0;1213573;7683462;2047819;7;0,2;3;19,5;25;5;13;64;0,9;0,2;0,25;1,2;0,99;0,15
09/09/2020;0,75;22,4;950;0;1228593;7762690;2091913;8;0,2;5,5;38,5;47;7;17;60;2;0,25;0,45;1,29;1,02;0,15
10/09/2020;1,205;24,2;947;0;1262518;7973713;2109115;7;0,25;3,5;29;32,5;8;17;81;2,1;0,3;0,4;1,23;1,01;0,14
11/09/2020;1,085;25,3;945;0;1191881;7685955;2017792;7;0,2;3,5;33;40;8;20,5;84;1,75;0,25;0,35;1,23;1;0,15
12/09/2020;1;25,9;947;0;812639;5261724;1366052;7,5;0,25;4,5;30;37,5;8;18;79;2,1;0,35;0,45;1,25;1,01;0,16
13/09/2020;1,285;26,1;951;0;736828;4791665;1249404;7;0,2;1,5;18,5;20,5;8;20;71,5;1,6;0,25;0,3;1,26;1,06;0,15
14/09/2020;1,22;25,1;951;0,1;1190189;7623839;2021274;7,5;0,2;3;22;25,5;9;24;71;1,35;0,2;0,35;1,23;1,06;0,14
15/09/2020;0,96;24;950;0,7;1252175;7955081;2089883;7,5;0,3;5;32;38,5;12;26;55;1,7;0,3;0,3;1,23;1,08;0,13
16/09/2020;0,985;24,4;948;1,6;1267035;8017688;2101882;8;0,3;5;35,5;43,5;12;27,5;52;2,4;0,3;0,35;1,28;1,03;0,14
17/09/2020;1,095;21,7;946,5;9,6;1256396;7922766;2102496;8;0,25;4,5;27;32,5;13;23;43;1,7;0,25;0,35;1,21;1,03;0,12
18/09/2020;1,26;17,9;944;14,55;1246020;7928367;2108568;8;0,2;4;26;32,5;7;16;27;1,35;0,2;0,4;1,18;1,05;0,13
19/09/2020;1,895;16,6;946;16,85;806277;5079535;1342285;7,5;0,2;2;11,5;14,5;4;7;53;0,65;0,1;0,2;1,21;0,99;0,12
20/09/2020;1,37;18,5;948;0,1;748495;4721148;1243492;7,5;0,2;1,5;11;13;5;9,5;56,5;0,6;0,15;0,15;1,18;0,98;0,11
21/09/2020;0,855;19,3;947;0,05;1199311;7574551;1992635;7,5;0,3;12;28,5;49,5;8;14;46,5;2,2;0,2;0,7;1,35;1,01;0,13
22/09/2020;1;19,5;945;0;1233759;7798900;2049567;8,5;0,3;7;31,5;45;7;13,5;50;2,6;0,35;0,55;1,24;1;0,14
23/09/2020;1,7;19,9;944;0;1232724;7794926;2048245;8;0,3;3;19;25;6;12;47;1,9;0,2;0,4;1,35;1,03;0,12
24/09/2020;2,09;18,7;945;2,1;1213609;7570476;2007594;7,5;0,2;3;14;19;7;8;49;1;0,1;0,15;1,16;0,97;0,12
25/09/2020;2,42;15,3;950;0;1262880;7948711;2085166;7,5;0,2;2,5;12;15,5;3;7;68,5;0,8;0,15;0,15;1,17;0,98;0,15
26/09/2020;1,365;15,5;949;0;776965;4888936;1271597;7,5;0,2;2;14,5;18;3;7;56;0,75;0,1;0,15;1,19;1,01;0,15
27/09/2020;1,48;17,6;945;0;682918;4336993;1128789;7;0,2;1;9;11;3;5;64;0,5;0,15;0,15;1,15;0,97;0,14
28/09/2020;0,55;16,3;947;0;1199140;7642411;2003437;8;0,35;17,5;47,5;74;6;14;35,5;2,3;0,45;0,4;1,29;1,02;0,18
29/09/2020;0,565;18,9;947;0;1228641;7782714;2059185;9;0,4;16;58;83;8;19;41;4,45;0,55;0,5;1,32;1,04;0,19
30/09/2020;0,875;19,4;945;0;1220985;7832852;2062349;9;0,4;11;48,5;64,5;9;18;54,5;3,2;0,45;0,5;1,3;1,02;0,18
01/10/2020;1,465;18,6;941;0;1242497;8028998;2084886;8;0,3;5,5;28;34,5;6;13;56;2,5;0,25;0,25;1,37;1,04;0,14
02/10/2020;3,225;13,3;931;6,5;1307037;8289048;2175783;8;0,2;3;11,5;15;3;7;59;0,6;0,15;0,25;1,15;0,91;0,15
03/10/2020;2,41;12,3;936,5;0;607752;3762810;1031168;8;0,2;1;9;12;3;7;66;0,4;0,1;0,2;1,16;0,93;0,16
04/10/2020;1,89;13;939;0;522879;3227571;885517;7,5;0,2;1;9,5;12;4;9;60;0,55;0,1;0,2;1,17;0,95;0,15
05/10/2020;1,38;14,8;945;0;1149671;7312885;1930820;7,5;0,2;3;20;26;4;9;53,5;0,85;0,2;0,2;1,19;0,96;0,15
06/10/2020;0,845;18,1;948,5;0;1198140;7638548;2035611;6,5;0,3;22,5;39;73;6;13;28;2,45;0,35;0,55;1,36;1,07;0,15
07/10/2020;0,585;19,5;950;0;1201980;7669747;2033186;6;0,5;29,5;44,5;93;9;18;29,5;4,45;0,65;0,8;1,37;1,04;0,2
08/10/2020;0,625;19,4;949;0;1198335;7647320;2040114;4,5;0,4;20;48,5;77,5;9;20;28,5;4;0,6;0,5;1,28;1,04;0,26
